ライン,頻発停止(分類),日付,頻発停止回数,,
RA,その他,7/4,0,,RAその他45477
RA,その他,7/5,0,,RAその他45478
RA,その他,7/6,0,,RAその他45479
RA,その他,7/7,0,,RAその他45480
RA,その他,7/8,0,,RAその他45481
RA,その他,7/9,0,,RAその他45482
RA,その他,7/10,0,,RAその他45483
RA,その他,7/11,0,,RAその他45484
RA,その他,7/12,0,,RAその他45485
RA,その他,7/13,0,,RAその他45486
RA,その他,7/14,0,,RAその他45487
RA,その他,7/15,,,RAその他45488
RA,その他,7/16,,,RAその他45489
RA,その他,7/17,,,RAその他45490
RA,その他,7/18,,,RAその他45491
RA,その他,7/19,,,RAその他45492
RA,その他,7/20,0,,RAその他45493
RA,その他,7/21,0,,RAその他45494
RA,その他,7/22,,,RAその他45495
RA,その他,7/23,,,RAその他45496
RA,その他,7/24,,,RAその他45497
RA,その他,7/25,,,RAその他45498
RA,その他,7/26,,,RAその他45499
RA,その他,7/27,0,,RAその他45500
RA,その他,7/28,0,,RAその他45501
RA,その他,7/29,,,RAその他45502
RA,その他,7/30,,,RAその他45503
RA,その他,7/31,,,RAその他45504
AMC,N/A,7/1,0,,AMCN/A45474
AMC,N/A,7/3,0,,AMCN/A45476
AMC,N/A,7/4,0,,AMCN/A45477
AMC,N/A,7/5,0,,AMCN/A45478
AMC,N/A,7/6,0,,AMCN/A45479
AMC,N/A,7/7,0,,AMCN/A45480
AMC,N/A,7/8,0,,AMCN/A45481
AMC,N/A,7/9,0,,AMCN/A45482
AMC,N/A,7/10,0,,AMCN/A45483
AMC,N/A,7/11,0,,AMCN/A45484
AMC,N/A,7/12,0,,AMCN/A45485
AMC,N/A,7/13,0,,AMCN/A45486
AMC,N/A,7/14,0,,AMCN/A45487
AMC,N/A,7/15,,,AMCN/A45488
AMC,N/A,7/16,,,AMCN/A45489
AMC,N/A,7/17,,,AMCN/A45490
AMC,N/A,7/18,,,AMCN/A45491
AMC,N/A,7/19,,,AMCN/A45492
AMC,N/A,7/20,0,,AMCN/A45493
AMC,N/A,7/21,0,,AMCN/A45494
AMC,N/A,7/22,,,AMCN/A45495
AMC,N/A,7/23,,,AMCN/A45496
AMC,N/A,7/24,,,AMCN/A45497
AMC,N/A,7/25,,,AMCN/A45498
AMC,N/A,7/26,,,AMCN/A45499
AMC,N/A,7/27,0,,AMCN/A45500
AMC,N/A,7/28,0,,AMCN/A45501
AMC,N/A,7/29,,,AMCN/A45502
AMC,N/A,7/30,,,AMCN/A45503
AMC,N/A,7/31,,,AMCN/A45504
新CAM,PRタッチセンサー,7/1,0,,新CAMPRタッチセンサー45474
新CAM,PRタッチセンサー,7/2,4,,新CAMPRタッチセンサー45475
新CAM,PRタッチセンサー,7/3,3,,新CAMPRタッチセンサー45476
新CAM,PRタッチセンサー,7/4,0,,新CAMPRタッチセンサー45477
新CAM,PRタッチセンサー,7/5,1,,新CAMPRタッチセンサー45478
新CAM,PRタッチセンサー,7/6,0,,新CAMPRタッチセンサー45479
新CAM,PRタッチセンサー,7/7,0,,新CAMPRタッチセンサー45480
新CAM,PRタッチセンサー,7/8,2,,新CAMPRタッチセンサー45481
新CAM,PRタッチセンサー,7/9,5,,新CAMPRタッチセンサー45482
新CAM,PRタッチセンサー,7/10,0,,新CAMPRタッチセンサー45483
新CAM,PRタッチセンサー,7/11,2,,新CAMPRタッチセンサー45484
新CAM,PRタッチセンサー,7/12,0,,新CAMPRタッチセンサー45485
新CAM,PRタッチセンサー,7/13,0,,新CAMPRタッチセンサー45486
新CAM,PRタッチセンサー,7/14,0,,新CAMPRタッチセンサー45487
新CAM,PRタッチセンサー,7/15,,,新CAMPRタッチセンサー45488
新CAM,PRタッチセンサー,7/16,,,新CAMPRタッチセンサー45489
新CAM,PRタッチセンサー,7/17,,,新CAMPRタッチセンサー45490
新CAM,PRタッチセンサー,7/18,,,新CAMPRタッチセンサー45491
新CAM,PRタッチセンサー,7/19,,,新CAMPRタッチセンサー45492
新CAM,PRタッチセンサー,7/20,0,,新CAMPRタッチセンサー45493
新CAM,PRタッチセンサー,7/21,0,,新CAMPRタッチセンサー45494
新CAM,PRタッチセンサー,7/22,,,新CAMPRタッチセンサー45495
新CAM,PRタッチセンサー,7/23,,,新CAMPRタッチセンサー45496
新CAM,PRタッチセンサー,7/24,,,新CAMPRタッチセンサー45497
新CAM,PRタッチセンサー,7/25,,,新CAMPRタッチセンサー45498
新CAM,PRタッチセンサー,7/26,,,新CAMPRタッチセンサー45499
新CAM,PRタッチセンサー,7/27,0,,新CAMPRタッチセンサー45500
新CAM,PRタッチセンサー,7/28,0,,新CAMPRタッチセンサー45501
新CAM,PRタッチセンサー,7/29,,,新CAMPRタッチセンサー45502
新CAM,PRタッチセンサー,7/30,,,新CAMPRタッチセンサー45503
新CAM,PRタッチセンサー,7/31,,,新CAMPRタッチセンサー45504
新CAM,PR搬送異常,7/1,0,,新CAMPR搬送異常45474
新CAM,PR搬送異常,7/2,0,,新CAMPR搬送異常45475
新CAM,PR搬送異常,7/3,0,,新CAMPR搬送異常45476
新CAM,PR搬送異常,7/4,0,,新CAMPR搬送異常45477
新CAM,PR搬送異常,7/5,0,,新CAMPR搬送異常45478
新CAM,PR搬送異常,7/6,0,,新CAMPR搬送異常45479
新CAM,PR搬送異常,7/7,0,,新CAMPR搬送異常45480
新CAM,PR搬送異常,7/8,0,,新CAMPR搬送異常45481
新CAM,PR搬送異常,7/9,5,,新CAMPR搬送異常45482
新CAM,PR搬送異常,7/10,0,,新CAMPR搬送異常45483
新CAM,PR搬送異常,7/11,0,,新CAMPR搬送異常45484
新CAM,PR搬送異常,7/12,0,,新CAMPR搬送異常45485
新CAM,PR搬送異常,7/13,0,,新CAMPR搬送異常45486
新CAM,PR搬送異常,7/14,0,,新CAMPR搬送異常45487
新CAM,PR搬送異常,7/15,,,新CAMPR搬送異常45488
新CAM,PR搬送異常,7/16,,,新CAMPR搬送異常45489
新CAM,PR搬送異常,7/17,,,新CAMPR搬送異常45490
新CAM,PR搬送異常,7/18,,,新CAMPR搬送異常45491
新CAM,PR搬送異常,7/19,,,新CAMPR搬送異常45492
新CAM,PR搬送異常,7/20,0,,新CAMPR搬送異常45493
新CAM,PR搬送異常,7/21,0,,新CAMPR搬送異常45494
新CAM,PR搬送異常,7/22,,,新CAMPR搬送異常45495
新CAM,PR搬送異常,7/23,,,新CAMPR搬送異常45496
新CAM,PR搬送異常,7/24,,,新CAMPR搬送異常45497
新CAM,PR搬送異常,7/25,,,新CAMPR搬送異常45498
新CAM,PR搬送異常,7/26,,,新CAMPR搬送異常45499
新CAM,PR搬送異常,7/27,0,,新CAMPR搬送異常45500
新CAM,PR搬送異常,7/28,0,,新CAMPR搬送異常45501
新CAM,PR搬送異常,7/29,,,新CAMPR搬送異常45502
新CAM,PR搬送異常,7/30,,,新CAMPR搬送異常45503
新CAM,PR搬送異常,7/31,,,新CAMPR搬送異常45504
新CAM,焼トンチャック異常,7/1,0,,新CAM焼トンチャック異常45474
新CAM,焼トンチャック異常,7/2,0,,新CAM焼トンチャック異常45475
新CAM,焼トンチャック異常,7/3,0,,新CAM焼トンチャック異常45476
新CAM,焼トンチャック異常,7/4,0,,新CAM焼トンチャック異常45477
新CAM,焼トンチャック異常,7/5,0,,新CAM焼トンチャック異常45478
新CAM,焼トンチャック異常,7/6,0,,新CAM焼トンチャック異常45479
新CAM,焼トンチャック異常,7/7,0,,新CAM焼トンチャック異常45480
新CAM,焼トンチャック異常,7/8,0,,新CAM焼トンチャック異常45481
新CAM,焼トンチャック異常,7/9,0,,新CAM焼トンチャック異常45482
新CAM,焼トンチャック異常,7/10,0,,新CAM焼トンチャック異常45483
新CAM,焼トンチャック異常,7/11,0,,新CAM焼トンチャック異常45484
新CAM,焼トンチャック異常,7/12,0,,新CAM焼トンチャック異常45485
新CAM,焼トンチャック異常,7/13,0,,新CAM焼トンチャック異常45486
新CAM,焼トンチャック異常,7/14,0,,新CAM焼トンチャック異常45487
新CAM,焼トンチャック異常,7/15,,,新CAM焼トンチャック異常45488
新CAM,焼トンチャック異常,7/16,,,新CAM焼トンチャック異常45489
新CAM,焼トンチャック異常,7/17,,,新CAM焼トンチャック異常45490
新CAM,焼トンチャック異常,7/18,,,新CAM焼トンチャック異常45491
新CAM,焼トンチャック異常,7/19,,,新CAM焼トンチャック異常45492
新CAM,焼トンチャック異常,7/20,0,,新CAM焼トンチャック異常45493
新CAM,焼トンチャック異常,7/21,0,,新CAM焼トンチャック異常45494
新CAM,焼トンチャック異常,7/22,,,新CAM焼トンチャック異常45495
新CAM,焼トンチャック異常,7/23,,,新CAM焼トンチャック異常45496
新CAM,焼トンチャック異常,7/24,,,新CAM焼トンチャック異常45497
新CAM,焼トンチャック異常,7/25,,,新CAM焼トンチャック異常45498
新CAM,焼トンチャック異常,7/26,,,新CAM焼トンチャック異常45499
新CAM,焼トンチャック異常,7/27,0,,新CAM焼トンチャック異常45500
新CAM,焼トンチャック異常,7/28,0,,新CAM焼トンチャック異常45501
新CAM,焼トンチャック異常,7/29,,,新CAM焼トンチャック異常45502
新CAM,焼トンチャック異常,7/30,,,新CAM焼トンチャック異常45503
新CAM,焼トンチャック異常,7/31,,,新CAM焼トンチャック異常45504
新CAM,焼トンコンベア詰まり,7/1,0,,新CAM焼トンコンベア詰まり45474
新CAM,焼トンコンベア詰まり,7/2,0,,新CAM焼トンコンベア詰まり45475
新CAM,焼トンコンベア詰まり,7/3,0,,新CAM焼トンコンベア詰まり45476
新CAM,焼トンコンベア詰まり,7/4,0,,新CAM焼トンコンベア詰まり45477
新CAM,焼トンコンベア詰まり,7/5,1,,新CAM焼トンコンベア詰まり45478
新CAM,焼トンコンベア詰まり,7/6,0,,新CAM焼トンコンベア詰まり45479
新CAM,焼トンコンベア詰まり,7/7,0,,新CAM焼トンコンベア詰まり45480
新CAM,焼トンコンベア詰まり,7/8,0,,新CAM焼トンコンベア詰まり45481
新CAM,焼トンコンベア詰まり,7/9,0,,新CAM焼トンコンベア詰まり45482
新CAM,焼トンコンベア詰まり,7/10,0,,新CAM焼トンコンベア詰まり45483
新CAM,焼トンコンベア詰まり,7/11,0,,新CAM焼トンコンベア詰まり45484
新CAM,焼トンコンベア詰まり,7/12,0,,新CAM焼トンコンベア詰まり45485
新CAM,焼トンコンベア詰まり,7/13,0,,新CAM焼トンコンベア詰まり45486
新CAM,焼トンコンベア詰まり,7/14,0,,新CAM焼トンコンベア詰まり45487
新CAM,焼トンコンベア詰まり,7/15,,,新CAM焼トンコンベア詰まり45488
新CAM,焼トンコンベア詰まり,7/16,,,新CAM焼トンコンベア詰まり45489
新CAM,焼トンコンベア詰まり,7/17,,,新CAM焼トンコンベア詰まり45490
新CAM,焼トンコンベア詰まり,7/18,,,新CAM焼トンコンベア詰まり45491
新CAM,焼トンコンベア詰まり,7/19,,,新CAM焼トンコンベア詰まり45492
新CAM,焼トンコンベア詰まり,7/20,0,,新CAM焼トンコンベア詰まり45493
新CAM,焼トンコンベア詰まり,7/21,0,,新CAM焼トンコンベア詰まり45494
新CAM,焼トンコンベア詰まり,7/22,,,新CAM焼トンコンベア詰まり45495
新CAM,焼トンコンベア詰まり,7/23,,,新CAM焼トンコンベア詰まり45496
新CAM,焼トンコンベア詰まり,7/24,,,新CAM焼トンコンベア詰まり45497
新CAM,焼トンコンベア詰まり,7/25,,,新CAM焼トンコンベア詰まり45498
新CAM,焼トンコンベア詰まり,7/26,,,新CAM焼トンコンベア詰まり45499
新CAM,焼トンコンベア詰まり,7/27,0,,新CAM焼トンコンベア詰まり45500
新CAM,焼トンコンベア詰まり,7/28,0,,新CAM焼トンコンベア詰まり45501
新CAM,焼トンコンベア詰まり,7/29,,,新CAM焼トンコンベア詰まり45502
新CAM,焼トンコンベア詰まり,7/30,,,新CAM焼トンコンベア詰まり45503
新CAM,焼トンコンベア詰まり,7/31,,,新CAM焼トンコンベア詰まり45504
新CAM,CH排出ワーク詰まり,7/1,0,,新CAMCH排出ワーク詰まり45474
新CAM,CH排出ワーク詰まり,7/2,1,,新CAMCH排出ワーク詰まり45475
新CAM,CH排出ワーク詰まり,7/3,0,,新CAMCH排出ワーク詰まり45476
新CAM,CH排出ワーク詰まり,7/4,1,,新CAMCH排出ワーク詰まり45477
新CAM,CH排出ワーク詰まり,7/5,1,,新CAMCH排出ワーク詰まり45478
新CAM,CH排出ワーク詰まり,7/6,0,,新CAMCH排出ワーク詰まり45479
新CAM,CH排出ワーク詰まり,7/7,0,,新CAMCH排出ワーク詰まり45480
新CAM,CH排出ワーク詰まり,7/8,0,,新CAMCH排出ワーク詰まり45481
新CAM,CH排出ワーク詰まり,7/9,0,,新CAMCH排出ワーク詰まり45482
新CAM,CH排出ワーク詰まり,7/10,0,,新CAMCH排出ワーク詰まり45483
新CAM,CH排出ワーク詰まり,7/11,0,,新CAMCH排出ワーク詰まり45484
新CAM,CH排出ワーク詰まり,7/12,0,,新CAMCH排出ワーク詰まり45485
新CAM,CH排出ワーク詰まり,7/13,0,,新CAMCH排出ワーク詰まり45486
新CAM,CH排出ワーク詰まり,7/14,0,,新CAMCH排出ワーク詰まり45487
新CAM,CH排出ワーク詰まり,7/15,,,新CAMCH排出ワーク詰まり45488
新CAM,CH排出ワーク詰まり,7/16,,,新CAMCH排出ワーク詰まり45489
新CAM,CH排出ワーク詰まり,7/17,,,新CAMCH排出ワーク詰まり45490
新CAM,CH排出ワーク詰まり,7/18,,,新CAMCH排出ワーク詰まり45491
新CAM,CH排出ワーク詰まり,7/19,,,新CAMCH排出ワーク詰まり45492
新CAM,CH排出ワーク詰まり,7/20,0,,新CAMCH排出ワーク詰まり45493
新CAM,CH排出ワーク詰まり,7/21,0,,新CAMCH排出ワーク詰まり45494
新CAM,CH排出ワーク詰まり,7/22,,,新CAMCH排出ワーク詰まり45495
新CAM,CH排出ワーク詰まり,7/23,,,新CAMCH排出ワーク詰まり45496
新CAM,CH排出ワーク詰まり,7/24,,,新CAMCH排出ワーク詰まり45497
新CAM,CH排出ワーク詰まり,7/25,,,新CAMCH排出ワーク詰まり45498
新CAM,CH排出ワーク詰まり,7/26,,,新CAMCH排出ワーク詰まり45499
新CAM,CH排出ワーク詰まり,7/27,0,,新CAMCH排出ワーク詰まり45500
新CAM,CH排出ワーク詰まり,7/28,0,,新CAMCH排出ワーク詰まり45501
新CAM,CH排出ワーク詰まり,7/29,,,新CAMCH排出ワーク詰まり45502
新CAM,CH排出ワーク詰まり,7/30,,,新CAMCH排出ワーク詰まり45503
新CAM,CH排出ワーク詰まり,7/31,,,新CAMCH排出ワーク詰まり45504
新CAM,その他,7/1,0,,新CAMその他45474
新CAM,その他,7/2,0,,新CAMその他45475
新CAM,その他,7/3,3,,新CAMその他45476
新CAM,その他,7/4,3,,新CAMその他45477
新CAM,その他,7/5,3,,新CAMその他45478
新CAM,その他,7/6,0,,新CAMその他45479
新CAM,その他,7/7,0,,新CAMその他45480
新CAM,その他,7/8,3,,新CAMその他45481
新CAM,その他,7/9,3,,新CAMその他45482
新CAM,その他,7/10,1,,新CAMその他45483
新CAM,その他,7/11,3,,新CAMその他45484
新CAM,その他,7/12,2,,新CAMその他45485
新CAM,その他,7/13,0,,新CAMその他45486
新CAM,その他,7/14,0,,新CAMその他45487
新CAM,その他,7/15,,,新CAMその他45488
新CAM,その他,7/16,,,新CAMその他45489
新CAM,その他,7/17,,,新CAMその他45490
新CAM,その他,7/18,,,新CAMその他45491
新CAM,その他,7/19,,,新CAMその他45492
新CAM,その他,7/20,0,,新CAMその他45493
新CAM,その他,7/21,0,,新CAMその他45494
新CAM,その他,7/22,,,新CAMその他45495
新CAM,その他,7/23,,,新CAMその他45496
新CAM,その他,7/24,,,新CAMその他45497
新CAM,その他,7/25,,,新CAMその他45498
新CAM,その他,7/26,,,新CAMその他45499
新CAM,その他,7/27,0,,新CAMその他45500
新CAM,その他,7/28,0,,新CAMその他45501
新CAM,その他,7/29,,,新CAMその他45502
新CAM,その他,7/30,,,新CAMその他45503
新CAM,その他,7/31,,,新CAMその他45504
60t,N/A,7/1,0,,60tN/A45474
60t,N/A,7/3,0,,60tN/A45476
60t,N/A,7/4,0,,60tN/A45477
60t,N/A,7/5,0,,60tN/A45478
60t,N/A,7/6,0,,60tN/A45479
60t,N/A,7/7,0,,60tN/A45480
60t,N/A,7/8,0,,60tN/A45481
60t,N/A,7/9,0,,60tN/A45482
60t,N/A,7/10,0,,60tN/A45483
60t,N/A,7/11,0,,60tN/A45484
60t,N/A,7/12,0,,60tN/A45485
60t,N/A,7/13,0,,60tN/A45486
60t,N/A,7/14,0,,60tN/A45487
60t,N/A,7/15,,,60tN/A45488
60t,N/A,7/16,,,60tN/A45489
60t,N/A,7/17,,,60tN/A45490
60t,N/A,7/18,,,60tN/A45491
60t,N/A,7/19,,,60tN/A45492
60t,N/A,7/20,0,,60tN/A45493
60t,N/A,7/21,0,,60tN/A45494
60t,N/A,7/22,,,60tN/A45495
60t,N/A,7/23,,,60tN/A45496
60t,N/A,7/24,,,60tN/A45497
60t,N/A,7/25,,,60tN/A45498
60t,N/A,7/26,,,60tN/A45499
60t,N/A,7/27,0,,60tN/A45500
60t,N/A,7/28,0,,60tN/A45501
60t,N/A,7/29,,,60tN/A45502
60t,N/A,7/30,,,60tN/A45503
60t,N/A,7/31,,,60tN/A45504
新3K,タッチセンサー,7/1,5,,新3Kタッチセンサー45474
新3K,タッチセンサー,7/2,7,,新3Kタッチセンサー45475
新3K,タッチセンサー,7/3,10,,新3Kタッチセンサー45476
新3K,タッチセンサー,7/4,15,,新3Kタッチセンサー45477
新3K,タッチセンサー,7/5,6,,新3Kタッチセンサー45478
新3K,タッチセンサー,7/6,0,,新3Kタッチセンサー45479
新3K,タッチセンサー,7/7,0,,新3Kタッチセンサー45480
新3K,タッチセンサー,7/8,5,,新3Kタッチセンサー45481
新3K,タッチセンサー,7/9,7,,新3Kタッチセンサー45482
新3K,タッチセンサー,7/10,12,,新3Kタッチセンサー45483
新3K,タッチセンサー,7/11,10,,新3Kタッチセンサー45484
新3K,タッチセンサー,7/12,7,,新3Kタッチセンサー45485
新3K,タッチセンサー,7/13,0,,新3Kタッチセンサー45486
新3K,タッチセンサー,7/14,0,,新3Kタッチセンサー45487
新3K,タッチセンサー,7/15,,,新3Kタッチセンサー45488
新3K,タッチセンサー,7/16,,,新3Kタッチセンサー45489
新3K,タッチセンサー,7/17,,,新3Kタッチセンサー45490
新3K,タッチセンサー,7/18,,,新3Kタッチセンサー45491
新3K,タッチセンサー,7/19,,,新3Kタッチセンサー45492
新3K,タッチセンサー,7/20,0,,新3Kタッチセンサー45493
新3K,タッチセンサー,7/21,0,,新3Kタッチセンサー45494
新3K,タッチセンサー,7/22,,,新3Kタッチセンサー45495
新3K,タッチセンサー,7/23,,,新3Kタッチセンサー45496
新3K,タッチセンサー,7/24,,,新3Kタッチセンサー45497
新3K,タッチセンサー,7/25,,,新3Kタッチセンサー45498
新3K,タッチセンサー,7/26,,,新3Kタッチセンサー45499
新3K,タッチセンサー,7/27,0,,新3Kタッチセンサー45500
新3K,タッチセンサー,7/28,0,,新3Kタッチセンサー45501
新3K,タッチセンサー,7/29,,,新3Kタッチセンサー45502
新3K,タッチセンサー,7/30,,,新3Kタッチセンサー45503
新3K,タッチセンサー,7/31,,,新3Kタッチセンサー45504
新3K,PR排出,7/1,0,,新3KPR排出45474
新3K,PR排出,7/2,0,,新3KPR排出45475
新3K,PR排出,7/3,0,,新3KPR排出45476
新3K,PR排出,7/4,0,,新3KPR排出45477
新3K,PR排出,7/5,0,,新3KPR排出45478
新3K,PR排出,7/6,0,,新3KPR排出45479
新3K,PR排出,7/7,0,,新3KPR排出45480
新3K,PR排出,7/8,0,,新3KPR排出45481
新3K,PR排出,7/9,0,,新3KPR排出45482
新3K,PR排出,7/10,3,,新3KPR排出45483
新3K,PR排出,7/11,0,,新3KPR排出45484
新3K,PR排出,7/12,0,,新3KPR排出45485
新3K,PR排出,7/13,0,,新3KPR排出45486
新3K,PR排出,7/14,0,,新3KPR排出45487
新3K,PR排出,7/15,,,新3KPR排出45488
新3K,PR排出,7/16,,,新3KPR排出45489
新3K,PR排出,7/17,,,新3KPR排出45490
新3K,PR排出,7/18,,,新3KPR排出45491
新3K,PR排出,7/19,,,新3KPR排出45492
新3K,PR排出,7/20,0,,新3KPR排出45493
新3K,PR排出,7/21,0,,新3KPR排出45494
新3K,PR排出,7/22,,,新3KPR排出45495
新3K,PR排出,7/23,,,新3KPR排出45496
新3K,PR排出,7/24,,,新3KPR排出45497
新3K,PR排出,7/25,,,新3KPR排出45498
新3K,PR排出,7/26,,,新3KPR排出45499
新3K,PR排出,7/27,0,,新3KPR排出45500
新3K,PR排出,7/28,0,,新3KPR排出45501
新3K,PR排出,7/29,,,新3KPR排出45502
新3K,PR排出,7/30,,,新3KPR排出45503
新3K,PR排出,7/31,,,新3KPR排出45504
新3K,PRコンベアー詰まり,7/1,0,,新3KPRコンベアー詰まり45474
新3K,PRコンベアー詰まり,7/2,0,,新3KPRコンベアー詰まり45475
新3K,PRコンベアー詰まり,7/3,0,,新3KPRコンベアー詰まり45476
新3K,PRコンベアー詰まり,7/4,0,,新3KPRコンベアー詰まり45477
新3K,PRコンベアー詰まり,7/5,0,,新3KPRコンベアー詰まり45478
新3K,PRコンベアー詰まり,7/6,0,,新3KPRコンベアー詰まり45479
新3K,PRコンベアー詰まり,7/7,0,,新3KPRコンベアー詰まり45480
新3K,PRコンベアー詰まり,7/8,0,,新3KPRコンベアー詰まり45481
新3K,PRコンベアー詰まり,7/9,0,,新3KPRコンベアー詰まり45482
新3K,PRコンベアー詰まり,7/10,0,,新3KPRコンベアー詰まり45483
新3K,PRコンベアー詰まり,7/11,0,,新3KPRコンベアー詰まり45484
新3K,PRコンベアー詰まり,7/12,0,,新3KPRコンベアー詰まり45485
新3K,PRコンベアー詰まり,7/13,0,,新3KPRコンベアー詰まり45486
新3K,PRコンベアー詰まり,7/14,0,,新3KPRコンベアー詰まり45487
新3K,PRコンベアー詰まり,7/15,,,新3KPRコンベアー詰まり45488
新3K,PRコンベアー詰まり,7/16,,,新3KPRコンベアー詰まり45489
新3K,PRコンベアー詰まり,7/17,,,新3KPRコンベアー詰まり45490
新3K,PRコンベアー詰まり,7/18,,,新3KPRコンベアー詰まり45491
新3K,PRコンベアー詰まり,7/19,,,新3KPRコンベアー詰まり45492
新3K,PRコンベアー詰まり,7/20,0,,新3KPRコンベアー詰まり45493
新3K,PRコンベアー詰まり,7/21,0,,新3KPRコンベアー詰まり45494
新3K,PRコンベアー詰まり,7/22,,,新3KPRコンベアー詰まり45495
新3K,PRコンベアー詰まり,7/23,,,新3KPRコンベアー詰まり45496
新3K,PRコンベアー詰まり,7/24,,,新3KPRコンベアー詰まり45497
新3K,PRコンベアー詰まり,7/25,,,新3KPRコンベアー詰まり45498
新3K,PRコンベアー詰まり,7/26,,,新3KPRコンベアー詰まり45499
新3K,PRコンベアー詰まり,7/27,0,,新3KPRコンベアー詰まり45500
新3K,PRコンベアー詰まり,7/28,0,,新3KPRコンベアー詰まり45501
新3K,PRコンベアー詰まり,7/29,,,新3KPRコンベアー詰まり45502
新3K,PRコンベアー詰まり,7/30,,,新3KPRコンベアー詰まり45503
新3K,PRコンベアー詰まり,7/31,,,新3KPRコンベアー詰まり45504
新3K,サイジング投入,7/1,0,,新3Kサイジング投入45474
新3K,サイジング投入,7/2,7,,新3Kサイジング投入45475
新3K,サイジング投入,7/3,0,,新3Kサイジング投入45476
新3K,サイジング投入,7/4,0,,新3Kサイジング投入45477
新3K,サイジング投入,7/5,0,,新3Kサイジング投入45478
新3K,サイジング投入,7/6,0,,新3Kサイジング投入45479
新3K,サイジング投入,7/7,0,,新3Kサイジング投入45480
新3K,サイジング投入,7/8,0,,新3Kサイジング投入45481
新3K,サイジング投入,7/9,0,,新3Kサイジング投入45482
新3K,サイジング投入,7/10,0,,新3Kサイジング投入45483
新3K,サイジング投入,7/11,0,,新3Kサイジング投入45484
新3K,サイジング投入,7/12,0,,新3Kサイジング投入45485
新3K,サイジング投入,7/13,0,,新3Kサイジング投入45486
新3K,サイジング投入,7/14,0,,新3Kサイジング投入45487
新3K,サイジング投入,7/15,,,新3Kサイジング投入45488
新3K,サイジング投入,7/16,,,新3Kサイジング投入45489
新3K,サイジング投入,7/17,,,新3Kサイジング投入45490
新3K,サイジング投入,7/18,,,新3Kサイジング投入45491
新3K,サイジング投入,7/19,,,新3Kサイジング投入45492
新3K,サイジング投入,7/20,0,,新3Kサイジング投入45493
新3K,サイジング投入,7/21,0,,新3Kサイジング投入45494
新3K,サイジング投入,7/22,,,新3Kサイジング投入45495
新3K,サイジング投入,7/23,,,新3Kサイジング投入45496
新3K,サイジング投入,7/24,,,新3Kサイジング投入45497
新3K,サイジング投入,7/25,,,新3Kサイジング投入45498
新3K,サイジング投入,7/26,,,新3Kサイジング投入45499
新3K,サイジング投入,7/27,0,,新3Kサイジング投入45500
新3K,サイジング投入,7/28,0,,新3Kサイジング投入45501
新3K,サイジング投入,7/29,,,新3Kサイジング投入45502
新3K,サイジング投入,7/30,,,新3Kサイジング投入45503
新3K,サイジング投入,7/31,,,新3Kサイジング投入45504
新3K,ベンダー投入,7/1,11,,新3Kベンダー投入45474
新3K,ベンダー投入,7/2,0,,新3Kベンダー投入45475
新3K,ベンダー投入,7/3,0,,新3Kベンダー投入45476
新3K,ベンダー投入,7/4,0,,新3Kベンダー投入45477
新3K,ベンダー投入,7/5,0,,新3Kベンダー投入45478
新3K,ベンダー投入,7/6,0,,新3Kベンダー投入45479
新3K,ベンダー投入,7/7,0,,新3Kベンダー投入45480
新3K,ベンダー投入,7/8,0,,新3Kベンダー投入45481
新3K,ベンダー投入,7/9,6,,新3Kベンダー投入45482
新3K,ベンダー投入,7/10,0,,新3Kベンダー投入45483
新3K,ベンダー投入,7/11,0,,新3Kベンダー投入45484
新3K,ベンダー投入,7/12,0,,新3Kベンダー投入45485
新3K,ベンダー投入,7/13,0,,新3Kベンダー投入45486
新3K,ベンダー投入,7/14,0,,新3Kベンダー投入45487
新3K,ベンダー投入,7/15,,,新3Kベンダー投入45488
新3K,ベンダー投入,7/16,,,新3Kベンダー投入45489
新3K,ベンダー投入,7/17,,,新3Kベンダー投入45490
新3K,ベンダー投入,7/18,,,新3Kベンダー投入45491
新3K,ベンダー投入,7/19,,,新3Kベンダー投入45492
新3K,ベンダー投入,7/20,0,,新3Kベンダー投入45493
新3K,ベンダー投入,7/21,0,,新3Kベンダー投入45494
新3K,ベンダー投入,7/22,,,新3Kベンダー投入45495
新3K,ベンダー投入,7/23,,,新3Kベンダー投入45496
新3K,ベンダー投入,7/24,,,新3Kベンダー投入45497
新3K,ベンダー投入,7/25,,,新3Kベンダー投入45498
新3K,ベンダー投入,7/26,,,新3Kベンダー投入45499
新3K,ベンダー投入,7/27,0,,新3Kベンダー投入45500
新3K,ベンダー投入,7/28,0,,新3Kベンダー投入45501
新3K,ベンダー投入,7/29,,,新3Kベンダー投入45502
新3K,ベンダー投入,7/30,,,新3Kベンダー投入45503
新3K,ベンダー投入,7/31,,,新3Kベンダー投入45504
新3K,ベンダー排出,7/1,28,,新3Kベンダー排出45474
新3K,ベンダー排出,7/2,0,,新3Kベンダー排出45475
新3K,ベンダー排出,7/3,0,,新3Kベンダー排出45476
新3K,ベンダー排出,7/4,0,,新3Kベンダー排出45477
新3K,ベンダー排出,7/5,0,,新3Kベンダー排出45478
新3K,ベンダー排出,7/6,0,,新3Kベンダー排出45479
新3K,ベンダー排出,7/7,0,,新3Kベンダー排出45480
新3K,ベンダー排出,7/8,0,,新3Kベンダー排出45481
新3K,ベンダー排出,7/9,10,,新3Kベンダー排出45482
